|String|fuzzybydefault|
ENV_CONFIG_ADMIN_USERS|Comma-separated list of String||
ENV_CONFIG_BYTE_SLICE|String||
ENV_CONFIG_COLOR_CODES|Comma-separated list of String:Integer pairs||
ENV_CONFIG_DATETIME|Time||
ENV_CONFIG_DEBUG|True or False||
ENV_CONFIG_EMPTY_NUMBERS|Comma-separated list of Integer||
ENV_CONFIG_ENABLED|True or False||some embedded value
ENV_CONFIG_MAGIC_NUMBERS|Comma-separated list of Integer||
ENV_CONFIG_MAPFIELD|Comma-separated list of String:String pairs|one:two,three:four|
ENV_CONFIG_PORT|Integer||
ENV_CONFIG_RATE|Float||
ENV_CONFIG_SOME_POINTER_WITH_DEFAULT|String|foo2baz|foorbar is the word
ENV_CONFIG_TIMEOUT|Duration||
ENV_CONFIG_TTL|Unsigned Integer||
ENV_CONFIG_URL_POINTER|CustomURL||
ENV_CONFIG_URL_VALUE|CustomURL||
ENV_CONFIG_USER|String||
honor|HonorDecodeInStruct||
inner|String||
